Date,Open,High,Low,Close,Volume
02/06/2025,"477,060","477,280","474,340","474,340","2,588"
02/05/2025,"480,900","480,900","478,300","479,260","27,336"
02/04/2025,"477,000","477,760","476,000","477,740","5,464"
02/03/2025,"480,000","480,720","477,780","477,780","3,407"
01/31/2025,"476,020","482,580","476,020","480,760","4,244"
01/30/2025,"479,000","479,000","475,120","477,300","359"
01/29/2025,"482,480","482,480","478,100","478,700","14,629"
01/28/2025,"480,560","483,800","480,560","483,720","3,104"
01/27/2025,"484,660","484,900","479,520","481,920","16,292"
01/24/2025,"480,000","480,000","478,800","479,500","1,011"
01/23/2025,"480,000","486,540","480,000","484,580","5,027"
01/22/2025,"514,980","514,980","487,500","489,420","1,668"
01/21/2025,"495,000","538,000","491,000","495,000","37"
01/20/2025,"495,000","495,000","495,000","495,000","92"
01/17/2025,"495,200","498,980","495,200","498,980","15,093"
01/16/2025,"493,540","495,000","493,540","495,000","232"
01/15/2025,"492,500","492,940","492,000","492,000","1,414"
01/14/2025,"492,000","492,500","492,000","492,160","10,539"
01/13/2025,"541,680","541,680","493,280","493,280","1,943"
01/10/2025,"492,460","500,000","473,000","492,460","22"
01/09/2025,"492,460","492,460","492,460","492,460","258"
01/08/2025,"495,900","495,960","494,120","495,380","2,264"
01/07/2025,"493,500","493,500","493,500","493,500","246"
01/03/2025,"502,540","549,960","460,100","502,540","25"
01/02/2025,"502,540","502,540","502,540","502,540","58"
12/30/2024,"501,560","549,480","501,560","501,560","4"
12/27/2024,"503,280","503,280","502,000","502,000","7,078"
12/26/2024,"500,180","500,180","500,000","500,000","977"
12/23/2024,"497,920","510,000","497,920","497,920","45"
12/20/2024,"497,100","500,820","497,100","500,000","3,687"
12/19/2024,"500,560","500,900","500,000","500,000","7,071"
12/18/2024,"495,000","497,960","495,000","496,400","7,318"
12/17/2024,"493,700","496,500","493,700","496,500","10,872"
12/16/2024,"493,600","509,980","491,000","493,600","18"
12/13/2024,"493,800","517,980","490,000","493,800","32"
12/12/2024,"493,800","500,000","490,320","493,800","18"
12/11/2024,"495,620","495,620","493,800","493,800","1,195"
12/10/2024,"494,980","498,000","494,980","498,000","1,037"
12/09/2024,"499,540","502,700","492,980","499,540","5"
12/06/2024,"502,740","502,740","502,740","502,740","1,035"
12/05/2024,"501,620","512,000","494,980","501,620","21"
12/04/2024,"501,620","512,000","501,620","501,620","10"
12/03/2024,"505,520","505,520","501,620","501,620","1,572"
12/02/2024,"500,000","508,380","500,000","508,380","3,044"
11/29/2024,"500,000","500,000","470,000","500,000","11"
11/28/2024,"500,000","500,000","500,000","500,000","24"
11/27/2024,"500,240","500,240","500,240","500,240","8,313"
11/26/2024,"499,000","500,000","499,000","500,000","161"
11/25/2024,"499,480","499,480","499,380","499,380","3,021"
11/22/2024,"501,320","505,000","470,000","501,320","15"
11/21/2024,"501,320","503,020","472,500","501,320","10"
11/20/2024,"501,320","501,320","501,320","501,320","259"
11/19/2024,"494,020","505,000","472,000","494,020","13"
11/18/2024,"494,000","494,020","494,000","494,020","53"
11/15/2024,"507,520","507,520","505,400","505,400","2,811"
11/14/2024,"504,200","509,760","504,200","509,160","890"
11/13/2024,"509,800","509,800","509,800","509,800","254"
11/12/2024,"501,120","501,120","501,120","501,120","301"
11/08/2024,"488,500","518,000","488,500","488,500","40"
11/07/2024,"489,400","489,400","485,740","488,500","455"
11/06/2024,"500,000","500,000","500,000","500,000","222"
11/05/2024,"500,000","500,080","500,000","500,060","959"
11/01/2024,"498,000","501,100","498,000","500,900","3,376"
10/31/2024,"498,120","499,900","493,020","498,120","11"
10/30/2024,"496,040","498,120","496,040","498,120","183"
10/29/2024,"490,000","496,000","490,000","490,000","33"
10/28/2024,"492,300","492,300","490,000","490,000","14,382"
10/25/2024,"486,500","490,900","485,800","490,900","8,134"
10/24/2024,"488,820","488,820","488,820","488,820","313"
10/23/2024,"483,020","488,000","483,020","488,000","6,880"
10/22/2024,"480,000","480,000","479,260","479,260","699"
10/21/2024,"483,700","485,000","480,020","481,300","3,443"
10/18/2024,"478,140","481,400","478,140","480,900","2,879"
10/17/2024,"481,380","481,680","478,800","478,800","18,297"
10/16/2024,"480,000","481,380","480,000","480,000","10,789"
