Date,Open,High,Low,Close,Volume
11/25/2024,"685.00","686.71","678.00","684.47","1,511,334"
11/22/2024,"667.80","674.80","666.22","672.88","1,275,596"
11/21/2024,"653.92","673.06","649.02","672.16","2,859,043"
11/20/2024,"656.53","658.48","645.45","658.43","1,677,808"
11/19/2024,"662.82","671.41","653.47","662.16","1,640,722"
11/18/2024,"651.07","668.86","648.00","665.23","2,012,643"
11/15/2024,"678.36","679.88","657.52","658.63","3,063,214"
11/14/2024,"705.68","712.00","691.53","692.96","3,925,296"
11/13/2024,"664.62","673.68","656.78","673.41","2,453,675"
11/12/2024,"672.64","676.54","662.83","669.18","1,710,979"
11/11/2024,"671.77","671.99","661.94","671.31","1,520,061"
11/08/2024,"670.00","671.24","661.89","669.47","1,726,789"
11/07/2024,"674.11","679.84","669.81","677.21","1,758,311"
11/06/2024,"668.55","673.04","654.77","661.43","3,208,584"
11/05/2024,"673.51","685.52","673.47","676.46","1,282,017"
11/04/2024,"676.05","678.43","670.82","671.16","1,232,509"
11/01/2024,"678.55","682.76","673.46","674.73","1,801,716"
10/31/2024,"682.98","683.00","667.22","672.55","2,398,265"
10/30/2024,"693.55","695.62","682.62","683.83","3,085,186"
10/29/2024,"707.74","715.94","703.69","715.14","1,445,456"
10/28/2024,"708.39","711.50","703.99","708.65","1,182,820"
10/25/2024,"715.99","723.25","711.23","711.70","1,380,123"
10/24/2024,"719.99","720.00","706.45","710.81","1,854,661"
10/23/2024,"714.05","716.31","700.10","708.62","1,681,361"
10/22/2024,"723.00","724.11","717.64","720.91","2,066,983"
10/21/2024,"724.00","724.85","708.79","714.10","2,184,820"
10/18/2024,"717.67","726.46","713.18","723.26","4,537,798"
10/17/2024,"692.64","703.88","677.12","700.60","7,209,119"
10/16/2024,"710.97","717.48","677.27","683.52","10,296,200"
10/15/2024,"867.22","873.65","717.50","730.43","9,350,715"
10/14/2024,"852.52","873.25","852.17","872.27","1,769,183"
10/11/2024,"829.92","845.00","828.41","840.69","964,926"
10/10/2024,"825.00","835.63","821.50","833.97","876,274"
10/09/2024,"829.83","846.12","826.37","845.90","1,004,859"
10/08/2024,"822.50","830.83","820.07","824.26","1,265,934"
10/07/2024,"811.72","823.00","811.01","817.25","898,156"
10/04/2024,"836.05","839.34","825.96","833.00","862,835"
10/03/2024,"825.91","837.51","823.79","832.41","651,879"
10/02/2024,"820.80","839.27","816.50","832.19","898,367"
10/01/2024,"839.68","841.27","811.90","822.35","1,244,096"
09/30/2024,"836.55","842.16","819.70","833.25","995,071"
09/27/2024,"852.45","854.15","838.20","841.54","1,038,367"
09/26/2024,"860.33","862.00","839.70","852.44","1,566,429"
09/25/2024,"816.35","827.21","814.00","818.18","878,178"
09/24/2024,"809.55","816.50","801.00","814.00","881,228"
09/23/2024,"807.61","807.61","798.01","803.50","965,578"
09/20/2024,"809.56","810.19","789.66","795.28","2,748,626"
09/19/2024,"832.67","839.65","822.22","828.16","1,644,266"
09/18/2024,"800.09","810.91","786.37","787.84","1,249,010"
09/17/2024,"808.70","811.77","796.54","805.69","734,551"
09/16/2024,"808.96","809.23","792.14","803.04","1,150,141"
09/13/2024,"804.12","818.62","803.87","816.36","1,069,219"
09/12/2024,"801.39","808.69","793.72","800.17","1,318,852"
09/11/2024,"770.03","801.60","758.73","800.14","2,559,122"
09/10/2024,"749.91","752.00","734.25","751.38","1,524,027"
09/09/2024,"764.08","764.28","738.15","749.82","2,539,926"
